iter	Passed	Remaining
0	139	139673
1	141	70809
2	143	47838
3	145	36335
4	148	29458
5	150	24854
6	151	21542
7	153	19078
8	155	17161
9	157	15625
10	159	14362
11	162	13356
12	164	12472
13	166	11715
14	168	11054
15	170	10475
16	171	9944
17	173	9491
18	175	9086
19	177	8720
20	180	8392
21	181	8089
22	183	7812
23	185	7558
24	187	7325
25	189	7109
26	191	6911
27	193	6726
28	195	6554
29	197	6393
30	199	6246
31	201	6109
32	203	5957
33	204	5804
34	205	5679
35	207	5550
36	208	5438
37	210	5326
38	211	5214
39	213	5112
40	214	5014
41	215	4919
42	217	4833
43	218	4747
44	221	4691
45	222	4610
46	223	4530
47	226	4483
48	227	4423
49	230	4376
50	232	4323
51	234	4272
52	236	4223
53	238	4176
54	240	4137
55	242	4092
56	244	4048
57	246	4005
58	248	3964
59	250	3928
60	252	3891
61	254	3852
62	256	3815
63	258	3778
64	260	3743
65	265	3759
66	267	3727
67	269	3695
68	271	3663
69	273	3631
70	275	3603
71	277	3573
72	279	3544
73	280	3515
74	283	3493
75	285	3467
76	286	3438
77	288	3413
78	290	3389
79	292	3365
80	294	3340
81	296	3318
82	297	3283
83	299	3261
84	303	3263
85	305	3244
86	306	3216
87	307	3186
88	308	3157
89	309	3132
90	310	3104
91	312	3080
92	313	3057
93	315	3036
94	316	3013
95	317	2993
96	319	2971
97	322	2966
98	324	2949
99	325	2928
100	326	2905
101	327	2885
102	328	2864
103	330	2843
104	330	2819
105	331	2799
106	333	2781
107	334	2760
108	335	2745
109	337	2728
110	338	2711
111	340	2695
112	342	2688
113	344	2679
114	347	2675
115	350	2673
116	352	2660
117	354	2652
118	357	2645
119	359	2638
120	362	2633
121	364	2620
122	368	2629
123	371	2624
124	373	2617
125	375	2607
126	377	2596
127	380	2593
128	383	2591
129	385	2582
130	388	2575
131	390	2567
132	392	2557
133	394	2548
134	396	2538
135	398	2531
136	400	2525
137	403	2519
138	405	2511
139	408	2506
140	410	2502
141	412	2491
142	416	2495
143	418	2486
144	420	2478
145	422	2470
146	424	2463
147	426	2454
148	428	2446
149	430	2438
150	432	2430
151	435	2428
152	480	2657
153	482	2648
154	483	2638
155	486	2630
156	487	2619
157	491	2618
158	493	2609
159	495	2599
160	496	2585
161	498	2576
162	502	2582
163	505	2574
164	506	2564
165	508	2556
166	511	2552
167	513	2545
168	515	2536
169	517	2528
170	523	2539
171	526	2532
172	528	2524
173	531	2521
174	534	2517
175	536	2509
176	538	2501
177	542	2503
178	543	2495
179	545	2486
180	547	2478
181	550	2474
182	552	2464
183	554	2457
184	556	2450
185	574	2512
186	576	2504
187	577	2496
188	580	2490
189	582	2482
190	583	2472
191	585	2465
192	587	2457
193	589	2450
194	591	2442
195	593	2434
196	595	2426
197	597	2419
198	599	2411
199	601	2405
200	603	2397
201	634	2508
202	637	2502
203	639	2495
204	641	2488
205	643	2480
206	645	2472
207	647	2465
208	649	2457
209	651	2450
210	653	2443
211	655	2436
212	657	2427
213	658	2420
214	660	2412
215	663	2409
216	666	2406
217	668	2399
218	670	2392
219	672	2386
220	674	2379
221	677	2372
222	679	2366
223	681	2359
224	683	2352
225	685	2346
226	687	2340
227	688	2332
228	691	2328
229	693	2322
230	695	2316
231	698	2312
232	700	2304
233	701	2297
234	703	2290
235	705	2284
236	707	2277
237	709	2271
238	711	2266
239	713	2260
240	715	2253
241	717	2247
242	719	2240
243	720	2233
244	722	2227
245	723	2219
246	725	2210
247	726	2202
248	727	2193
249	728	2184
250	729	2176
251	732	2175
252	734	2167
253	735	2159
254	736	2151
255	737	2143
256	738	2134
257	740	2128
258	741	2120
259	742	2112
260	743	2105
261	744	2098
262	747	2094
263	749	2090
264	757	2099
265	759	2096
266	762	2092
267	764	2089
268	770	2094
269	773	2091
270	775	2087
271	778	2082
272	780	2077
273	782	2072
274	784	2068
275	796	2088
276	798	2084
277	800	2078
278	802	2072
279	804	2067
280	806	2062
281	808	2057
282	810	2052
283	812	2048
284	814	2043
285	816	2038
286	818	2033
287	820	2028
288	822	2024
289	824	2018
290	826	2013
291	835	2025
292	837	2020
293	839	2015
294	841	2010
295	843	2006
296	845	2001
297	847	1996
298	849	1991
299	851	1986
300	853	1981
301	855	1977
302	857	1972
303	859	1967
304	861	1962
305	863	1957
306	865	1952
307	867	1947
308	868	1943
309	889	1980
310	891	1975
311	893	1970
312	897	1969
313	899	1965
314	901	1961
315	903	1956
316	908	1956
317	910	1952
318	912	1947
319	914	1942
320	915	1937
321	919	1936
322	921	1931
323	923	1926
324	929	1930
325	931	1925
326	933	1921
327	935	1916
328	938	1913
329	939	1908
330	942	1904
331	944	1900
332	946	1895
333	949	1892
334	950	1887
335	952	1882
336	954	1878
337	956	1873
338	960	1873
339	962	1868
340	966	1868
341	971	1868
342	973	1864
343	975	1860
344	986	1872
345	988	1867
346	990	1864
347	992	1860
348	994	1855
349	996	1851
350	1001	1851
351	1003	1846
352	1004	1841
353	1007	1837
354	1010	1835
355	1020	1846
356	1023	1842
357	1025	1838
358	1027	1833
359	1029	1829
360	1031	1826
361	1034	1822
362	1036	1819
363	1040	1818
364	1043	1814
365	1045	1810
366	1047	1806
367	1052	1807
368	1054	1803
369	1056	1799
370	1061	1799
371	1063	1795
372	1065	1791
373	1068	1788
374	1070	1783
375	1072	1780
376	1074	1776
377	1077	1772
378	1079	1768
379	1081	1764
380	1083	1760
381	1085	1756
382	1087	1751
383	1091	1750
384	1093	1747
385	1095	1743
386	1098	1739
387	1099	1735
388	1102	1731
389	1104	1727
390	1106	1722
391	1109	1720
392	1111	1716
393	1113	1712
394	1115	1708
395	1117	1705
396	1120	1701
397	1122	1697
398	1124	1693
399	1126	1690
400	1128	1685
401	1130	1681
402	1133	1679
403	1137	1677
404	1140	1675
405	1142	1670
406	1144	1666
407	1146	1662
408	1147	1658
409	1149	1654
410	1152	1651
411	1154	1647
412	1157	1644
413	1163	1646
414	1165	1642
415	1167	1638
416	1169	1634
417	1170	1630
418	1173	1626
419	1174	1622
420	1177	1618
421	1180	1616
422	1183	1613
423	1185	1610
424	1189	1609
425	1192	1607
426	1195	1604
427	1197	1599
428	1199	1595
429	1200	1591
430	1202	1587
431	1204	1583
432	1205	1578
433	1207	1574
434	1209	1570
435	1211	1566
436	1212	1562
437	1214	1558
438	1216	1554
439	1218	1550
440	1219	1546
441	1221	1541
442	1223	1538
443	1224	1533
444	1226	1529
445	1228	1526
446	1230	1522
447	1232	1518
448	1234	1514
449	1236	1510
450	1238	1507
451	1239	1502
452	1241	1499
453	1243	1495
454	1245	1491
455	1247	1488
456	1249	1484
457	1250	1480
458	1252	1476
459	1254	1472
460	1256	1468
461	1258	1465
462	1260	1461
463	1261	1457
464	1263	1453
465	1265	1449
466	1267	1446
467	1269	1442
468	1271	1439
469	1273	1435
470	1274	1431
471	1276	1427
472	1278	1424
473	1279	1420
474	1281	1416
475	1283	1412
476	1285	1409
477	1286	1405
478	1288	1401
479	1290	1397
480	1292	1394
481	1294	1390
482	1296	1387
483	1297	1383
484	1299	1379
485	1301	1376
486	1303	1372
487	1304	1369
488	1306	1365
489	1308	1361
490	1309	1357
491	1311	1354
492	1313	1350
493	1314	1346
494	1316	1343
495	1318	1339
496	1320	1336
497	1321	1332
498	1323	1329
499	1325	1325
500	1327	1322
501	1329	1319
502	1331	1315
503	1333	1312
504	1335	1308
505	1336	1304
506	1338	1301
507	1340	1297
508	1341	1294
509	1343	1290
510	1345	1287
511	1346	1283
512	1348	1280
513	1349	1276
514	1351	1272
515	1353	1269
516	1354	1265
517	1356	1262
518	1358	1259
519	1360	1255
520	1362	1252
521	1364	1249
522	1366	1246
523	1367	1242
524	1369	1239
525	1371	1235
526	1373	1232
527	1375	1229
528	1377	1226
529	1378	1222
530	1381	1219
531	1382	1216
532	1384	1212
533	1386	1209
534	1388	1206
535	1389	1203
536	1391	1199
537	1393	1196
538	1395	1193
539	1397	1190
540	1399	1187
541	1401	1183
542	1402	1180
543	1404	1177
544	1406	1174
545	1408	1171
546	1410	1167
547	1411	1164
548	1413	1161
549	1415	1158
550	1417	1155
551	1419	1151
552	1421	1148
553	1422	1145
554	1424	1142
555	1426	1139
556	1428	1135
557	1430	1132
558	1431	1129
559	1433	1126
560	1435	1123
561	1437	1120
562	1439	1117
563	1440	1113
564	1442	1110
565	1444	1107
566	1446	1104
567	1447	1101
568	1449	1097
569	1451	1095
570	1453	1092
571	1455	1089
572	1457	1086
573	1459	1083
574	1461	1080
575	1463	1077
576	1464	1073
577	1466	1070
578	1468	1067
579	1470	1064
580	1472	1061
581	1474	1058
582	1475	1055
583	1477	1052
584	1479	1049
585	1481	1046
586	1482	1043
587	1484	1040
588	1486	1037
589	1488	1034
590	1490	1031
591	1492	1028
592	1494	1025
593	1495	1022
594	1497	1019
595	1499	1016
596	1501	1013
597	1503	1010
598	1505	1007
599	1506	1004
600	1508	1001
601	1510	998
602	1511	995
603	1513	992
604	1515	989
605	1516	986
606	1518	983
607	1520	980
608	1522	977
609	1524	974
610	1525	971
611	1527	968
612	1529	965
